city,state,Correction,Census_Name,State
Powell,OH,Correction needed,Powell city, Ohio
Waterford,CA,Correction needed,Waterford city, California
Pullman,WA,Correction needed,Pullman city, Washington
Bay St. Louis,MS,Correction needed,Bay St. Louis city, Mississippi
New Auburn,MN,Correction needed,New Auburn city, Minnesota
Stuttgart,AR,Correction needed,Stuttgart city, Arkansas
Ballard,UT,Correction needed,Ballard town, Utah
Tulare County,CA,Correction needed,Tulare city, California
King City,CA,Correction needed,King City city, California
La Rue,OH,No close match found,,
Holly Springs,NC,Correction needed,Holly Springs town, North Carolina
Sidney,OH,Correction needed,Sidney city, Ohio
Richland,MS,Correction needed,Richland city, Mississippi
Quitman,TX,Correction needed,Quitman city, Texas
Hurricane,UT,Correction needed,Hurricane city, Utah
Long Island,NY,No close match found,,
Amelia County,VA,No close match found,,
Kahului,HI,Correction needed,Kahului CDP, Hawaii
Post Falls,ID,Correction needed,Post Falls city, Idaho
Pine Brook,NJ,Correction needed,Pine Brook CDP, New Jersey
Gilford,NH,No close match found,,
Sulphur Springs,TX,Correction needed,Sulphur Springs city, Texas
Gridley,CA,Correction needed,Gridley city, California
Lillington,NC,Correction needed,Lillington town, North Carolina
Bath Township,MI,No close match found,,
Brackenridge,PA,Correction needed,Brackenridge borough, Pennsylvania
Ridgecrest,CA,Correction needed,Ridgecrest city, California
San Jacinto,CA,Correction needed,San Jacinto city, California
Cambridge,MA,Correction needed,Cambridge city, Massachusetts
Laurie,MO,Correction needed,Laurie city, Missouri
Hermitage,TN,No close match found,,
Frederick,CO,Correction needed,Frederick town, Colorado
Hazel Green,AL,Correction needed,Hazel Green CDP, Alabama
Statesboro,GA,Correction needed,Statesboro city, Georgia
Saratoga Springs,UT,Correction needed,Saratoga Springs city, Utah
Kent,NY,No close match found,,
Valencia,CA,No close match found,,
Paris,WI,No close match found,,
Seal Beach,CA,Correction needed,Seal Beach city, California
Washington Township,PA,Correction needed,Washington city, Pennsylvania
Chipley,FL,Correction needed,Chipley city, Florida
Liberty Hill,TX,Correction needed,Liberty Hill city, Texas
Laveen,AZ,No close match found,,
Menomonie,WI,Correction needed,Menomonie city, Wisconsin
Wellington,KS,Correction needed,Wellington city, Kansas
Cuero,TX,No close match found,,
Deptford Township,NJ,No close match found,,
Dodge City,KS,Correction needed,Bogue city, Kansas
Sugar Valley,GA,No close match found,,
Melbourne Beach,FL,Correction needed,Melbourne Beach town, Florida
New Castle,VA,Correction needed,New Castle town, Virginia
Mineola,TX,Correction needed,Mineola city, Texas
Big Bear,CA,No close match found,,
Wyoming,OH,Correction needed,Wyoming city, Ohio
White Marsh,MD,Correction needed,White Marsh CDP, Maryland
Jackson,OH,Correction needed,Jackson city, Ohio
Edwards,CO,Correction needed,Edwards CDP, Colorado
Magnolia,TX,Correction needed,Magnolia city, Texas
Littleton,CO,Correction needed,Littleton city, Colorado
Anthony,TX,Correction needed,Anthony town, Texas
Prestonsburg,KY,Correction needed,Prestonsburg city, Kentucky
Beaver Creek Township,MI,No close match found,,
North Vernon,IN,Correction needed,North Vernon city, Indiana
Wesley Chapel,FL,Correction needed,Wesley Chapel CDP, Florida
Cherokee,AL,Correction needed,Cherokee town, Alabama
Fort Lee,NJ,No close match found,,
Mitchell,IN,Correction needed,Mitchell city, Indiana
Easton,MA,No close match found,,
Live Oak,FL,Correction needed,Live Oak city, Florida
Albany,OR,Correction needed,Albany city, Oregon
Spiro,OK,No close match found,,
Grove City,OH,Correction needed,Groveport city, Ohio
Dunnigan,CA,Correction needed,Dunnigan CDP, California
Burns,TN,No close match found,,
Grandview,WA,Correction needed,Grandview city, Washington
Clinton,MT,Correction needed,Clinton CDP, Montana
Toulon,IL,Correction needed,Toulon city, Illinois
Okolona,MS,Correction needed,Okolona city, Mississippi
Goddard,KS,Correction needed,Goddard city, Kansas
Tysons,VA,Correction needed,Tysons CDP, Virginia
Wallace,NC,Correction needed,Wallace town, North Carolina
Middletown,OH,Correction needed,Middletown city, Ohio
Branson,MO,Correction needed,Branson city, Missouri
Roseburg,OR,Correction needed,Roseburg city, Oregon
Mountain City,TN,Correction needed,Mountain City town, Tennessee
Ashburn,GA,Correction needed,Ashburn city, Georgia
Liverpool,TX,Correction needed,Liverpool city, Texas
Elsanor,AL,No close match found,,
Williston Highlands,FL,Correction needed,Williston Highlands CDP, Florida
Nicholls,GA,Correction needed,Nicholls city, Georgia
Albemarle,NC,Correction needed,Albemarle city, North Carolina
Kailua-Kona,HI,No close match found,,
Sasabe,AZ,No close match found,,
Temple,GA,Correction needed,Temple city, Georgia
St. Regis,MT,Correction needed,St. Regis CDP, Montana
Cascadia,OR,Correction needed,Cascadia CDP, Oregon
Monte Vista,CO,Correction needed,Monte Vista city, Colorado
Brookfield Township,OH,No close match found,,
North Fork,CA,Correction needed,North Fork CDP, California
Highland Township,MI,No close match found,,
Perry,OK,No close match found,,
Wyomissing,PA,Correction needed,Wyomissing borough, Pennsylvania
Forest City,NC,Correction needed,Forest City town, North Carolina
Craig,CO,No close match found,,
Wayne,MI,No close match found,,
Livingston,TX,Correction needed,Livingston town, Texas
Walnut Grove,TN,No close match found,,
Farragut,TN,Correction needed,Farragut town, Tennessee
Denison,TX,Correction needed,Dennis town, Texas
Vernon,CA,Correction needed,Vernon city, California
Cameron,WI,No close match found,,
German Township,IN,No close match found,,
Window Rock,AZ,Correction needed,Window Rock CDP, Arizona
Cyrus,MN,No close match found,,
Plano,KY,Correction needed,Plano CDP, Kentucky
Grand Rapids,WI,No close match found,,
St. Ignatius,MT,Correction needed,St. Ignatius town, Montana
Weldon Spring,MO,Correction needed,Weldon Spring city, Missouri
Placerville,CA,Correction needed,Placerville city, California
North Ogden,UT,Correction needed,North Ogden city, Utah
Bynum,TX,No close match found,,
Thermopolis,WY,Correction needed,Thermopolis town, Wyoming
Winton,CA,Correction needed,Winton CDP, California
Molokai,HI,No close match found,,
Cordova,AL,Correction needed,Cordova city, Alabama
El Dorado,AR,Correction needed,El Dorado city, Arkansas
La Salle,CO,Correction needed,La Salle town, Colorado
Herrick Township,PA,No close match found,,
Temperance,MI,Correction needed,Temperance CDP, Michigan
Bonham,TX,Correction needed,Bonham city, Texas
Ravenel,SC,Correction needed,Ravenel town, South Carolina
Tuba City,AZ,Correction needed,Tuba City CDP, Arizona
Cameron,TX,Correction needed,Cameron city, Texas
New Center,TN,No close match found,,
Senoia,GA,Correction needed,Senoia city, Georgia
Kimberly,ID,Correction needed,Kimberly city, Idaho
Caruthers,CA,Correction needed,Caruthers CDP, California
Shawnee,OK,Correction needed,Shawnee city, Oklahoma
Mequon,WI,Correction needed,Mequon city, Wisconsin
Point Hope,AK,Correction needed,Point Hope city, Alaska
Tohono O'odham Nation Reservation,AZ,No close match found,,
Lincoln,AR,Correction needed,Lincoln city, Arkansas
Reading,OH,Correction needed,Reading city, Ohio
Clifton Park,NY,No close match found,,
Donna,TX,No close match found,,
Columbia,MS,Correction needed,Columbia city, Mississippi
Geneva,IL,Correction needed,Geneva city, Illinois
Johnston,RI,No close match found,,
Kernersville,NC,Correction needed,Kernersville town, North Carolina
Fox Lake,IL,No close match found,,
Kennett,MO,Correction needed,Kennett city, Missouri
Denton,NC,Correction needed,Ayden town, North Carolina
Brandon,MS,Correction needed,Brandon city, Mississippi
Blue Island,IL,Correction needed,Blue Island city, Illinois
Myrtle,MS,Correction needed,Myrtle town, Mississippi
Star Prairie,WI,Correction needed,Star Prairie village, Wisconsin
Harvard,IL,Correction needed,Harvard city, Illinois
Eldersburg,MD,Correction needed,Eldersburg CDP, Maryland
Harlan,KY,Correction needed,Harlan city, Kentucky
Conifer,CO,No close match found,,
Chefornak,AK,Correction needed,Chefornak city, Alaska
Georgetown Township,MI,No close match found,,
Kenly,NC,No close match found,,
Midway City,CA,Correction needed,Midway City CDP, California
Kaibeto,AZ,No close match found,,
Genoa,WI,No close match found,,
Caldwell,TX,Correction needed,Caldwell city, Texas
Bishopville,SC,Correction needed,Bishopville city, South Carolina
Mountain Home,TX,No close match found,,
Windsor,CO,Correction needed,Windsor town, Colorado
Diamond Bar,CA,Correction needed,Diamond Bar city, California
Fair Haven,VT,Correction needed,Fair Haven CDP, Vermont
Sheffield,IA,Correction needed,Sheffield city, Iowa
West Columbia,SC,Correction needed,West Columbia city, South Carolina
Pearl City,HI,Correction needed,Pearl City CDP, Hawaii
Streetman,TX,Correction needed,Streetman town, Texas
Othello,WA,Correction needed,Othello city, Washington
Ester,AK,Correction needed,Ester CDP, Alaska
Point Richmond,CA,No close match found,,
Sanderson,FL,No close match found,,
Stonewall,MS,Correction needed,Stonewall town, Mississippi
Clifton Forge,VA,Correction needed,Clifton Forge town, Virginia
Harts,WV,Correction needed,Harts CDP, West Virginia
Center Township,PA,No close match found,,
Ligonier Township,PA,No close match found,,
Lexington,TN,Correction needed,Lexington city, Tennessee
Prudenville,MI,Correction needed,Prudenville CDP, Michigan
Grand Haven,MI,Correction needed,Grand Haven city, Michigan
Mescalero,NM,Correction needed,Mescalero CDP, New Mexico
Summit Cove,CO,No close match found,,
Converse,TX,Correction needed,Converse city, Texas
Byesville,OH,No close match found,,
Saucier,MS,Correction needed,Saucier CDP, Mississippi
Natchez,MS,Correction needed,Natchez city, Mississippi
Coal City,WV,Correction needed,Coal City CDP, West Virginia
Jasper,GA,Correction needed,Jasper city, Georgia
Logan,NM,No close match found,,
Lebanon,TN,Correction needed,Lebanon city, Tennessee
Aspen Hill,MD,Correction needed,Aspen Hill CDP, Maryland
Chelsea,ME,No close match found,,
Purcell,OK,Correction needed,Purcell city, Oklahoma
Groves,TX,Correction needed,Groves city, Texas
Elizabeth,NJ,Correction needed,Elizabeth city, New Jersey
McAllen,TX,Correction needed,McAllen city, Texas
Brookhaven,GA,Correction needed,Brookhaven city, Georgia
Niagara Falls,NY,Correction needed,Niagara Falls city, New York
Hartford,AL,Correction needed,Hartford city, Alabama
Roosevelt Island,NY,Correction needed,Roosevelt CDP, New York
Rowsburg,OH,No close match found,,
La Mesa,CA,Correction needed,La Mesa city, California
Gates,NY,Correction needed,Gates CDP, New York
Mission,KS,Correction needed,Mission city, Kansas
Popular Bluff,MO,Correction needed,Poplar Bluff city, Missouri
Essexville,MI,Correction needed,Essexville city, Michigan
Ransom,KS,Correction needed,Ransom city, Kansas
West Hartford,CT,Correction needed,West Hartford CDP, Connecticut
Goetzville,MI,No close match found,,
Osceola,AR,Correction needed,Osceola city, Arkansas
Watertown,TN,Correction needed,Baxter town, Tennessee
Russell,NY,No close match found,,
Cadillac,MI,Correction needed,Cadillac city, Michigan
Pleasant Hill,IA,Correction needed,Pleasant Hill city, Iowa
Ravenna Township,MI,No close match found,,
Princeton,NC,Correction needed,Princeton town, North Carolina
Morse,WI,No close match found,,
Mendota,CA,Correction needed,Mendota city, California
Henderson,TN,Correction needed,Henderson city, Tennessee
Pontiac,MI,Correction needed,Pontiac city, Michigan
Cedar Glen,CA,No close match found,,
Marion,NC,Correction needed,Marion city, North Carolina
Trabuco Canyon,CA,Correction needed,Trabuco Canyon CDP, California
Blendon Township,OH,No close match found,,
South Portland,ME,Correction needed,South Portland city, Maine
Gladstone,MO,Correction needed,Gladstone city, Missouri
Pyramid Lake,NV,No close match found,,
Ore City,TX,Correction needed,Goree city, Texas
Bradfordtown,KY,No close match found,,
Marengo,IN,Correction needed,Marengo town, Indiana
Pleasanton,TX,Correction needed,Pleasanton city, Texas
Jonesboro,GA,Correction needed,Jonesboro city, Georgia
Gholson,TX,Correction needed,Gholson city, Texas
Clayton,OK,Correction needed,Clayton town, Oklahoma
North Huntington,PA,Correction needed,North Washington CDP, Pennsylvania
Rockaway Beach,OR,Correction needed,Rockaway Beach city, Oregon
Wrens,GA,No close match found,,
Fort Hall,ID,Correction needed,Fort Hall CDP, Idaho
Magee,MS,No close match found,,
Rayne,LA,No close match found,,
Mount Pleasant,SC,Correction needed,Mount Pleasant town, South Carolina
Lake City,FL,Correction needed,Bay Lake city, Florida
Hancock,MA,No close match found,,
Mariposa,CA,Correction needed,Mariposa CDP, California
Ceredo,WV,Correction needed,Ceredo city, West Virginia
Saratoga,NC,Correction needed,Saratoga town, North Carolina
Rangeley Plantation,ME,No close match found,,
West End,NC,No close match found,,
Hoopa,CA,Correction needed,Hoopa CDP, California
Johnstown,NY,Correction needed,Johnstown city, New York
Woodville,TX,Correction needed,Woodville town, Texas
Albany,CA,Correction needed,Albany city, California
Idabel,OK,Correction needed,Idabel city, Oklahoma
Bedford,IN,Correction needed,Bedford city, Indiana
Morris,IL,Correction needed,Morris city, Illinois
Ailey,GA,No close match found,,
Manteo,NC,Correction needed,Manteo town, North Carolina
Hubbard,OH,Correction needed,Hubbard city, Ohio
Ballantine,MT,Correction needed,Ballantine CDP, Montana
Norwich Township,MI,No close match found,,
Cut Bank,MT,Correction needed,Cut Bank city, Montana
Canoga Park,CA,No close match found,,
Willow Grove,PA,Correction needed,Willow Grove CDP, Pennsylvania
Rice Lake,WI,Correction needed,Rice Lake city, Wisconsin
Paradise,TX,Correction needed,Paradise city, Texas
Bonifay,FL,Correction needed,Bonifay city, Florida
Radnor Township,PA,No close match found,,
De Leon,TX,Correction needed,De Leon city, Texas
Sikeston,MO,Correction needed,Sikeston city, Missouri
Fon Du Loc,WI,No close match found,,
Silverthorne,CO,Correction needed,Silverthorne town, Colorado
Wallingford,CT,No close match found,,
Centralia,IL,Correction needed,Centralia city, Illinois
Prospect,CT,No close match found,,
Vinton,OH,No close match found,,
Germantown,WI,Correction needed,Germantown village, Wisconsin
Silver Springs Shores,FL,Correction needed,Silver Springs Shores CDP, Florida
New Pittsburg,IN,No close match found,,
Round Lake Beach,IL,Correction needed,Round Lake Beach village, Illinois
Somerset,KY,Correction needed,Somerset city, Kentucky
Rumford,ME,Correction needed,Rumford CDP, Maine
Hornick,IA,Correction needed,Hornick city, Iowa
Tok,AK,No close match found,,
Rowlett,TX,Correction needed,Rowlett city, Texas
Spirit Lake,ID,Correction needed,Spirit Lake city, Idaho
Swayzee,IN,Correction needed,Swayzee town, Indiana
Grafton,WI,No close match found,,
North Olmstead,OH,Correction needed,North Olmsted city, Ohio
Ponte Vedra Beach,FL,No close match found,,
Bluffton,SC,Correction needed,Bluffton town, South Carolina
Northampton Township,PA,Correction needed,Northampton borough, Pennsylvania
